external_txn_id,account,currency,amount,debit_credit,booking_date,value_date,reference,narrative,_source_batch
473631159357,ACC#00001,USD,-250.95,CR,2023-02-03,2023-02-02,779756BW61314537 L-0533566754VI,JOQ TREPIDATORY WOLD HOTPOT UNRIP,ingest_batch_0001.csv
63965329797,ACC#00001,USD,-254.90,CR,2023-02-12,2023-02-11,779756BW61314537 L-9858966793VI,JOQ TREPIDATORY WOLD HOTPOT UNRIP,ingest_batch_0001.csv
3502879217,ACC#00001,USD,-446000.00,CR,2023-02-20,2023-02-19,VOLERY 6565066161FW,UNPARTOOK TYPY MENT Q-0706 ERICIUS,ingest_batch_0001.csv
556339840751,ACC#00001,USD,-338000.00,CR,2023-02-20,2023-02-19,VOLERY 6565666161FW,UNPARTOOK TYPY MENT Q-0706 ERICIUS,ingest_batch_0001.csv
131189749992,ACC#00001,USD,-909465.72,CR,2023-02-26,2023-02-25,779726BW63729900 L-5284566165VI,JOQ TREPIDATORY WOLD HOTPOT UNRIP,ingest_batch_0001.csv
976446368020,ACC#00001,USD,744273.00,DR,2023-02-26,2023-02-25,VOLERY 3336616666FP,TUP 00C4066666666666IFV /FICKLEST,ingest_batch_0001.csv
25288488488,ACC#00001,USD,20.00,DR,2023-02-26,2023-02-25,IROG-2RLOBP 0496866169VI,,ingest_batch_0001.csv
369587820177,ACC#00001,USD,160.00,DR,2023-03-03,2023-03-02,6482166161RN 6482166161RN,SLATTERN TYPY OEV NYET PIRAYA POOH,ingest_batch_0001.csv
279249566319,ACC#00001,USD,10322.20,DR,2023-03-03,2023-03-02,VOLERY 3325992666FP,TUP 01C6266666666666IFV /IFV PENSY,ingest_batch_0001.csv
609712890485,ACC#00001,USD,4396.00,DR,2023-03-03,2023-03-02,6123166165RN 6123166165RN,OUV EU  MS GAB CARBETHOXY HG 03777,ingest_batch_0001.csv
656925913482,ACC#00001,USD,787.44,DR,2023-03-05,2023-03-04,6375066167RN 6375066167RN,DESILT FGY TYPY OEV IODOHYDRIN Q0,ingest_batch_0001.csv
816536926508,ACC#00001,USD,2677.60,DR,2023-03-05,2023-03-04,6430066161RN 6430066161RN,LGYV TYPY INF MURREY NA 09201,ingest_batch_0001.csv
846590183759,ACC#00001,USD,-262.31,CR,2023-03-05,2023-03-04,RM120049-767-660 L-5576566103LL,GOVERNORATE DALAPON NM U-7942 PUKA,ingest_batch_0001.csv
429056396291,ACC#00001,USD,5593.80,DR,2023-03-05,2023-03-04,6114766798RN 6114766798RN,AFTONIAN TRANSPORTAL TYPY OEV PIKI,ingest_batch_0001.csv
62776011225,ACC#00001,USD,5000.00,DR,2023-03-05,2023-03-04,6805066165RN 6805066165RN,AFTONIAN TRANSPORTAL TYPY OEV PIKI,ingest_batch_0001.csv
254163183822,ACC#00001,USD,25.00,DR,2023-03-05,2023-03-04,VOLERY 3356293666FP,TUP JQO CARD DYES 00/06/69,ingest_batch_0001.csv
140993090522,ACC#00001,USD,-469.38,CR,2023-03-05,2023-03-04,779756BW61300901 L-8030766108VI,JOQ TREPIDATORY WOLD HOTPOT UNRIP,ingest_batch_0001.csv
63655270630,ACC#00001,USD,559.60,DR,2023-03-05,2023-03-04,VOLERY 3350600666FP,TUP FIE ORARY DYES 00/06/69,ingest_batch_0001.csv
